filename,width,height,class,xmin,ymin,xmax,ymax
000654.jpg,500,333,person,368,49,424,146
000654.jpg,500,333,person,323,81,369,133
000654.jpg,500,333,person,114,61,171,139
000654.jpg,500,333,person,86,60,129,139
000278.jpg,500,375,person,111,89,417,375
000906.jpg,500,375,person,160,159,191,221
000906.jpg,500,375,person,397,166,425,205
000709.jpg,500,377,person,120,63,334,355
000709.jpg,500,377,person,119,57,394,352
000245.jpg,500,375,person,303,139,329,171
000523.jpg,375,500,person,145,103,209,256
000523.jpg,375,500,person,212,187,304,417
000523.jpg,375,500,person,343,228,361,255
000251.jpg,453,500,person,52,429,70,469
000480.jpg,500,375,person,293,162,419,375
000480.jpg,500,375,person,114,165,228,373
000480.jpg,500,375,person,5,172,116,373
000331.jpg,375,500,person,149,254,358,467
000443.jpg,500,464,person,12,18,107,318
000133.jpg,447,500,person,73,18,406,500
000321.jpg,333,500,person,44,167,249,458
000269.jpg,500,332,person,227,56,497,213
000269.jpg,500,332,person,91,59,245,261
000269.jpg,500,332,person,37,134,203,332
000269.jpg,500,332,person,226,75,413,274
000269.jpg,500,332,person,258,114,477,332
000282.jpg,500,374,person,327,104,476,300
000282.jpg,500,374,person,232,57,357,374
000282.jpg,500,374,person,3,32,199,374
000282.jpg,500,374,person,58,139,296,374
000731.jpg,329,500,person,13,75,300,373
000731.jpg,329,500,person,1,1,165,273
000902.jpg,500,399,person,4,2,158,281
000903.jpg,416,500,person,41,25,407,366
000081.jpg,500,333,person,198,156,341,231
000081.jpg,500,333,person,349,145,451,266
000081.jpg,500,333,person,61,162,170,333
000081.jpg,500,333,person,29,166,73,213
000081.jpg,500,333,person,298,246,433,333
000081.jpg,500,333,person,196,215,332,330
000081.jpg,500,333,person,270,298,324,333
000526.jpg,500,333,person,189,88,276,316
000526.jpg,500,333,person,259,73,440,320
000526.jpg,500,333,person,376,85,443,304
000308.jpg,500,375,person,351,100,433,190
000308.jpg,500,375,person,224,124,308,269
000308.jpg,500,375,person,144,153,243,321
000308.jpg,500,375,person,163,114,225,167
000308.jpg,500,375,person,216,107,276,154
000320.jpg,375,500,person,1,78,372,500
000446.jpg,332,500,person,130,167,230,476
000446.jpg,332,500,person,81,86,244,472
000322.jpg,500,332,person,13,2,469,332
000524.jpg,500,322,person,252,78,312,238
000530.jpg,332,500,person,1,113,183,408
000530.jpg,332,500,person,61,111,324,476
000530.jpg,332,500,person,159,61,217,168
000518.jpg,500,333,person,1,191,21,252
000726.jpg,500,333,person,153,45,274,333
000726.jpg,500,333,person,70,75,499,333
000083.jpg,500,333,person,380,2,435,135
000083.jpg,500,333,person,138,14,193,115
000083.jpg,500,333,person,1,20,75,204
000083.jpg,500,333,person,60,48,114,156
000083.jpg,500,333,person,32,51,83,162
000915.jpg,500,375,person,206,71,416,375
000915.jpg,500,375,person,94,103,284,264
000733.jpg,450,435,person,48,25,273,383
000041.jpg,500,333,person,216,92,307,302
000041.jpg,500,333,person,164,148,227,244
000531.jpg,500,375,person,27,42,205,375
000531.jpg,500,375,person,150,31,362,373
000531.jpg,500,375,person,366,57,500,311
000257.jpg,500,375,person,20,142,222,375
000257.jpg,500,375,person,175,68,472,375
000525.jpg,500,331,person,443,116,500,217
000525.jpg,500,331,person,104,113,169,219
000323.jpg,500,375,person,277,3,500,375
000323.jpg,500,375,person,12,3,305,375
000337.jpg,500,375,person,29,29,68,111
000337.jpg,500,375,person,119,4,162,53
000337.jpg,500,375,person,113,28,167,131
000337.jpg,500,375,person,242,17,288,103
000337.jpg,500,375,person,68,92,165,255
000337.jpg,500,375,person,235,30,403,362
000337.jpg,500,375,person,176,75,231,132
000860.jpg,500,353,person,224,35,281,86
000860.jpg,500,353,person,298,45,358,115
000874.jpg,500,332,person,2,2,387,332
000684.jpg,375,500,person,52,112,91,183
000684.jpg,375,500,person,77,101,241,314
000684.jpg,375,500,person,217,49,294,304
000684.jpg,375,500,person,285,22,361,366
000684.jpg,375,500,person,297,3,375,369
000848.jpg,500,334,person,33,109,260,334
000848.jpg,500,334,person,309,170,461,334
000690.jpg,500,375,person,226,87,336,371
000892.jpg,500,375,person,350,191,427,375
000138.jpg,500,332,person,6,56,154,285
000138.jpg,500,332,person,145,58,283,258
000138.jpg,500,332,person,224,54,440,332
000138.jpg,500,332,person,363,96,500,332
000110.jpg,500,375,person,79,233,110,314
000110.jpg,500,375,person,54,231,86,344
000104.jpg,500,333,person,291,75,442,333
000104.jpg,500,333,person,2,7,283,333
000851.jpg,500,375,person,174,69,302,335
000879.jpg,500,375,person,252,132,320,375
000448.jpg,500,375,person,229,57,314,167
000448.jpg,500,375,person,171,85,221,152
000448.jpg,500,375,person,88,71,142,112
000448.jpg,500,375,person,11,124,190,375
000448.jpg,500,375,person,47,92,225,286
000448.jpg,500,375,person,5,72,51,182
000448.jpg,500,375,person,251,65,357,188
000448.jpg,500,375,person,335,81,422,217
000448.jpg,500,375,person,345,107,500,338
000448.jpg,500,375,person,279,226,433,375
000500.jpg,500,375,person,88,51,218,375
000500.jpg,500,375,person,288,72,321,135
000500.jpg,500,375,person,231,71,253,135
000500.jpg,500,375,person,200,85,221,119
000500.jpg,500,375,person,97,75,123,114
000500.jpg,500,375,person,76,74,98,107
000702.jpg,500,375,person,420,150,466,230
000918.jpg,333,500,person,18,15,333,500
000717.jpg,500,375,person,230,39,308,341
000717.jpg,500,375,person,182,131,240,344
000717.jpg,500,375,person,15,199,146,372
000717.jpg,500,375,person,302,128,391,373
000717.jpg,500,375,person,440,128,500,375
000717.jpg,500,375,person,393,128,461,369
000717.jpg,500,375,person,47,146,149,373
000717.jpg,500,375,person,3,151,36,258
000298.jpg,500,388,person,180,32,339,359
000878.jpg,500,333,person,149,52,259,307
000688.jpg,500,317,person,73,14,97,82
000688.jpg,500,317,person,103,10,121,75
000688.jpg,500,317,person,117,1,134,78
000688.jpg,500,317,person,38,1,76,83
000688.jpg,500,317,person,1,1,46,96
000677.jpg,333,500,person,66,54,333,436
000885.jpg,500,456,person,11,12,485,456
000113.jpg,500,332,person,277,101,354,260
000463.jpg,500,175,person,221,47,283,161
000305.jpg,333,500,person,57,79,323,474
000477.jpg,500,333,person,100,130,137,237
000477.jpg,500,333,person,151,131,181,246
000477.jpg,500,333,person,179,133,193,207
000477.jpg,500,333,person,193,135,231,287
000477.jpg,500,333,person,229,138,254,258
000477.jpg,500,333,person,255,121,298,278
000477.jpg,500,333,person,279,132,323,289
000477.jpg,500,333,person,301,130,339,316
000477.jpg,500,333,person,318,117,362,333
000477.jpg,500,333,person,332,131,400,332
000477.jpg,500,333,person,380,125,449,333
000477.jpg,500,333,person,427,125,500,333
000259.jpg,500,362,person,171,1,499,361
000259.jpg,500,362,person,3,1,271,264
000073.jpg,375,500,person,22,143,146,500
000926.jpg,375,500,person,1,16,340,500
000926.jpg,375,500,person,211,334,241,390
000926.jpg,375,500,person,199,309,231,351
000926.jpg,375,500,person,174,315,210,360
000926.jpg,375,500,person,192,354,226,396
000926.jpg,375,500,person,153,354,197,398
000926.jpg,375,500,person,126,355,160,401
000926.jpg,375,500,person,124,319,163,373
000926.jpg,375,500,person,147,320,180,355
000066.jpg,500,375,person,209,187,228,230
000066.jpg,500,375,person,242,182,274,259
000066.jpg,500,375,person,269,188,295,259
000516.jpg,500,375,person,1,9,500,375
000476.jpg,500,375,person,126,110,358,373
000338.jpg,500,333,person,197,91,216,116
000847.jpg,375,500,person,61,111,296,500
000843.jpg,500,333,person,351,54,426,304
000328.jpg,500,332,person,116,62,174,226
000328.jpg,500,332,person,170,83,209,148
000328.jpg,500,332,person,362,70,414,204
000328.jpg,500,332,person,281,94,327,180
000499.jpg,500,375,person,230,68,374,291
000089.jpg,500,374,person,20,7,183,355
000089.jpg,500,374,person,98,215,429,374
000089.jpg,500,374,person,332,140,455,366
000739.jpg,500,374,person,404,30,500,374
000739.jpg,500,374,person,386,83,479,374
000739.jpg,500,374,person,272,65,415,374
000739.jpg,500,374,person,239,55,335,374
000739.jpg,500,374,person,165,55,252,374
000739.jpg,500,374,person,97,66,193,374
000739.jpg,500,374,person,3,26,108,374
000275.jpg,476,480,person,204,50,339,301
000498.jpg,326,500,person,114,256,201,496
000895.jpg,500,375,person,126,71,274,359
000895.jpg,500,375,person,25,101,157,343
000101.jpg,500,333,person,40,64,400,333
000129.jpg,334,500,person,74,1,272,462
000129.jpg,334,500,person,252,19,334,487
000854.jpg,500,375,person,309,158,387,311
000854.jpg,500,375,person,262,153,315,308
000854.jpg,500,375,person,215,150,269,301
000854.jpg,500,375,person,33,176,154,331
000288.jpg,500,333,person,443,163,479,283
000288.jpg,500,333,person,419,153,439,240
000288.jpg,500,333,person,440,156,450,230
000288.jpg,500,333,person,412,163,430,248
000288.jpg,500,333,person,407,194,422,251
000288.jpg,500,333,person,373,157,401,266
000288.jpg,500,333,person,330,169,380,252
000288.jpg,500,333,person,1,153,20,305
000288.jpg,500,333,person,1,110,33,244
000920.jpg,500,379,person,281,67,330,199
000048.jpg,375,500,person,2,1,302,500
000276.jpg,375,500,person,129,163,230,319
000276.jpg,375,500,person,162,373,260,500
000276.jpg,375,500,person,32,373,140,500
000302.jpg,500,375,person,133,244,184,367
000470.jpg,500,375,person,145,132,173,230
000173.jpg,394,480,person,106,64,270,297
000359.jpg,432,500,person,25,13,288,481
000991.jpg,318,480,person,88,87,235,322
000760.jpg,500,332,person,121,133,159,228
000760.jpg,500,332,person,215,144,243,227
000760.jpg,500,332,person,320,121,360,223
000760.jpg,500,332,person,373,131,410,192
000589.jpg,500,375,person,73,1,315,375
000589.jpg,500,375,person,54,127,97,268
000589.jpg,500,375,person,1,118,33,300
000210.jpg,500,374,person,443,211,468,235
000210.jpg,500,374,person,15,214,37,240
000164.jpg,500,375,person,292,49,446,370
000170.jpg,500,375,person,3,91,43,206
000170.jpg,500,375,person,4,28,461,372
000428.jpg,500,414,person,76,106,376,404
000372.jpg,500,334,person,269,19,360,296
000777.jpg,500,333,person,224,1,361,209
000987.jpg,500,447,person,199,19,390,401
000987.jpg,500,447,person,217,15,270,157
000987.jpg,500,447,person,393,18,432,162
000367.jpg,500,375,person,174,66,295,265
000171.jpg,375,500,person,94,21,375,491
000165.jpg,500,386,person,89,54,500,386
000159.jpg,500,333,person,234,48,286,124
000613.jpg,500,333,person,31,110,184,333
000613.jpg,500,333,person,87,110,181,257
000613.jpg,500,333,person,137,103,194,224
000613.jpg,500,333,person,174,91,238,190
000613.jpg,500,333,person,206,102,245,154
000613.jpg,500,333,person,131,39,173,127
000613.jpg,500,333,person,256,84,311,129
000613.jpg,500,333,person,335,87,369,104
000613.jpg,500,333,person,377,85,408,108
000613.jpg,500,333,person,455,97,489,137
000613.jpg,500,333,person,301,127,465,332
000613.jpg,500,333,person,335,103,445,197
000613.jpg,500,333,person,328,95,382,179
000613.jpg,500,333,person,329,100,357,153
000834.jpg,500,375,person,98,245,390,375
000411.jpg,240,320,person,127,190,158,277
000411.jpg,240,320,person,199,194,233,275
000411.jpg,240,320,person,167,196,185,236
000411.jpg,240,320,person,88,193,119,294
000411.jpg,240,320,person,20,195,55,297
000411.jpg,240,320,person,65,185,90,293
